Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.10,0,0.0200,Completed
SSI,314,50,50,0.10,1,0.0332,Completed
SSI,314,50,50,0.10,2,0.0297,Completed
SSI,314,50,50,0.10,3,0.0331,Completed
SSI,314,50,50,0.10,4,0.0247,Completed
SSI,314,50,50,0.10,5,0.0303,Completed
SSI,314,50,50,0.10,6,0.0227,Completed
SSI,314,50,50,0.10,7,0.0269,Completed
SSI,314,50,50,0.10,8,0.0287,Completed
SSI,314,50,50,0.10,9,0.0294,Completed
SSI,314,50,50,0.10,10,0.0227,Completed
SSI,314,50,50,0.10,11,0.0289,Completed
SSI,314,50,50,0.10,12,0.0290,Completed
SSI,314,50,50,0.10,13,0.0486,Completed
SSI,314,50,50,0.10,14,0.0308,Completed
SSI,314,50,50,0.10,15,0.0316,Completed
SSI,314,50,50,0.10,16,0.0248,Completed
SSI,314,50,50,0.10,17,0.0209,Completed
SSI,314,50,50,0.10,18,0.0209,Completed
SSI,314,50,50,0.10,19,0.0237,Completed
SSI,314,50,50,0.10,20,0.0244,Completed
SSI,314,50,50,0.10,21,0.0268,Completed
SSI,314,50,50,0.10,22,0.0248,Completed
SSI,314,50,50,0.10,23,0.0267,Completed
SSI,314,50,50,0.10,24,0.0183,Completed
SSI,314,50,50,0.10,25,0.0202,Completed
SSI,314,50,50,0.10,26,0.0331,Completed
SSI,314,50,50,0.10,27,0.0256,Completed
SSI,314,50,50,0.10,28,0.0272,Completed
SSI,314,50,50,0.10,29,0.0233,Completed
SSI,314,50,50,0.10,30,0.0300,Completed
SSI,314,50,50,0.10,31,0.0291,Completed
SSI,314,50,50,0.10,32,0.0274,Completed
SSI,314,50,50,0.10,33,0.0248,Completed
SSI,314,50,50,0.10,34,0.0226,Completed
SSI,314,50,50,0.10,35,0.0315,Completed
SSI,314,50,50,0.10,36,0.0304,Completed
SSI,314,50,50,0.10,37,0.0247,Completed
SSI,314,50,50,0.10,38,0.0260,Completed
SSI,314,50,50,0.10,39,0.0408,Completed
SSI,314,50,50,0.10,40,0.0317,Completed
SSI,314,50,50,0.10,41,0.0272,Completed
SSI,314,50,50,0.10,42,0.0314,Completed
SSI,314,50,50,0.10,43,0.0291,Completed
SSI,314,50,50,0.10,44,0.0292,Completed
SSI,314,50,50,0.10,45,0.0271,Completed
SSI,314,50,50,0.10,46,0.0230,Completed
SSI,314,50,50,0.10,47,0.0307,Completed
SSI,314,50,50,0.10,48,0.0394,Completed
SSI,314,50,50,0.10,49,0.0304,Completed
SSI,314,50,50,0.10,50,0.0358,Completed
SSI,314,50,50,0.10,51,0.0362,Completed
SSI,314,50,50,0.10,52,0.0326,Completed
SSI,314,50,50,0.10,53,0.0281,Completed
SSI,314,50,50,0.10,54,0.0414,Completed
SSI,314,50,50,0.10,55,0.0299,Completed
SSI,314,50,50,0.10,56,0.0270,Completed
SSI,314,50,50,0.10,57,0.0310,Completed
SSI,314,50,50,0.10,58,0.0253,Completed
SSI,314,50,50,0.10,59,0.0400,Completed
SSI,314,50,50,0.10,60,0.0301,Completed
SSI,314,50,50,0.10,61,0.0300,Completed
SSI,314,50,50,0.10,62,0.0289,Completed
SSI,314,50,50,0.10,63,0.0216,Completed
SSI,314,50,50,0.10,64,0.0276,Completed
SSI,314,50,50,0.10,65,0.0278,Completed
SSI,314,50,50,0.10,66,0.0291,Completed
SSI,314,50,50,0.10,67,0.0308,Completed
SSI,314,50,50,0.10,68,0.0263,Completed
SSI,314,50,50,0.10,69,0.0315,Completed
SSI,314,50,50,0.10,70,0.0279,Completed
SSI,314,50,50,0.10,71,0.0176,Completed
SSI,314,50,50,0.10,72,0.0277,Completed
SSI,314,50,50,0.10,73,0.0266,Completed
SSI,314,50,50,0.10,74,0.0225,Completed
SSI,314,50,50,0.10,75,0.0281,Completed
SSI,314,50,50,0.10,76,0.0354,Completed
SSI,314,50,50,0.10,77,0.0394,Completed
SSI,314,50,50,0.10,78,0.0366,Completed
SSI,314,50,50,0.10,79,0.0360,Completed
SSI,314,50,50,0.10,80,0.0295,Completed
SSI,314,50,50,0.10,81,0.0303,Completed
SSI,314,50,50,0.10,82,0.0288,Completed
SSI,314,50,50,0.10,83,0.0309,Completed
SSI,314,50,50,0.10,84,0.0320,Completed
SSI,314,50,50,0.10,85,0.0254,Completed
SSI,314,50,50,0.10,86,0.0273,Completed
SSI,314,50,50,0.10,87,0.0239,Completed
SSI,314,50,50,0.10,88,0.0315,Completed
SSI,314,50,50,0.10,89,0.0336,Completed
SSI,314,50,50,0.10,90,0.0306,Completed
