Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.10,0,0.030,Completed
SSI,314,50,50,0.10,1,0.029,Completed
SSI,314,50,50,0.10,2,0.019,Completed
SSI,314,50,50,0.10,3,0.028,Completed
SSI,314,50,50,0.10,4,0.029,Completed
SSI,314,50,50,0.11,0,0.026,Completed
SSI,314,50,50,0.11,1,0.028,Completed
SSI,314,50,50,0.11,2,0.026,Completed
SSI,314,50,50,0.11,3,0.029,Completed
SSI,314,50,50,0.11,4,0.029,Completed
SSI,314,50,50,0.12,0,0.028,Completed
SSI,314,50,50,0.12,1,0.031,Completed
SSI,314,50,50,0.12,2,0.026,Completed
SSI,314,50,50,0.12,3,0.030,Completed
SSI,314,50,50,0.12,4,0.027,Completed
SSI,314,50,50,0.13,0,0.032,Completed
SSI,314,50,50,0.13,1,0.029,Completed
SSI,314,50,50,0.13,2,0.026,Completed
SSI,314,50,50,0.13,3,0.025,Completed
SSI,314,50,50,0.13,4,0.032,Completed
SSI,314,50,50,0.14,0,0.029,Completed
SSI,314,50,50,0.14,1,0.029,Completed
SSI,314,50,50,0.14,2,0.029,Completed
SSI,314,50,50,0.14,3,0.029,Completed
SSI,314,50,50,0.14,4,0.032,Completed
SSI,314,50,50,0.15,0,0.027,Completed
SSI,314,50,50,0.15,1,0.026,Completed
SSI,314,50,50,0.15,2,0.031,Completed
SSI,314,50,50,0.15,3,0.027,Completed
SSI,314,50,50,0.15,4,0.026,Completed
SSI,314,50,50,0.16,0,0.026,Completed
SSI,314,50,50,0.16,1,0.030,Completed
SSI,314,50,50,0.16,2,0.034,Completed
SSI,314,50,50,0.16,3,0.030,Completed
SSI,314,50,50,0.16,4,0.028,Completed
SSI,314,50,50,0.17,0,0.030,Completed
SSI,314,50,50,0.17,1,0.031,Completed
SSI,314,50,50,0.17,2,0.032,Completed
SSI,314,50,50,0.17,3,0.032,Completed
SSI,314,50,50,0.17,4,0.031,Completed
SSI,314,50,50,0.18,0,0.029,Completed
SSI,314,50,50,0.18,1,0.031,Completed
SSI,314,50,50,0.18,2,0.029,Completed
SSI,314,50,50,0.18,3,0.040,Completed
SSI,314,50,50,0.18,4,0.034,Completed
SSI,314,50,50,0.19,0,0.034,Completed
SSI,314,50,50,0.19,1,0.036,Completed
SSI,314,50,50,0.19,2,0.040,Completed
SSI,314,50,50,0.19,3,0.031,Completed
SSI,314,50,50,0.19,4,0.031,Completed
SSI,314,50,50,0.20,0,0.033,Completed
SSI,314,50,50,0.20,1,0.032,Completed
SSI,314,50,50,0.20,2,0.032,Completed
SSI,314,50,50,0.20,3,0.030,Completed
SSI,314,50,50,0.20,4,0.040,Completed
SSI,314,50,50,0.21,0,0.029,Completed
SSI,314,50,50,0.21,1,0.026,Completed
SSI,314,50,50,0.21,2,0.037,Completed
SSI,314,50,50,0.21,3,0.030,Completed
SSI,314,50,50,0.21,4,0.040,Completed
SSI,314,50,50,0.22,0,0.031,Completed
SSI,314,50,50,0.22,1,0.039,Completed
SSI,314,50,50,0.22,2,0.039,Completed
SSI,314,50,50,0.22,3,0.037,Completed
SSI,314,50,50,0.22,4,0.031,Completed
SSI,314,50,50,0.23,0,0.050,Completed
SSI,314,50,50,0.23,1,0.036,Completed
SSI,314,50,50,0.23,2,0.051,Completed
SSI,314,50,50,0.23,3,0.042,Completed
SSI,314,50,50,0.23,4,0.038,Completed
SSI,314,50,50,0.24,0,0.039,Completed
SSI,314,50,50,0.24,1,0.044,Completed
SSI,314,50,50,0.24,2,0.033,Completed
SSI,314,50,50,0.24,3,0.039,Completed
SSI,314,50,50,0.24,4,0.039,Completed
SSI,314,50,50,0.25,0,0.043,Completed
SSI,314,50,50,0.25,1,0.040,Completed
SSI,314,50,50,0.25,2,0.046,Completed
SSI,314,50,50,0.25,3,0.040,Completed
SSI,314,50,50,0.25,4,0.041,Completed
SSI,314,50,50,0.26,0,0.045,Completed
SSI,314,50,50,0.26,1,0.037,Completed
SSI,314,50,50,0.26,2,0.042,Completed
SSI,314,50,50,0.26,3,0.049,Completed
SSI,314,50,50,0.26,4,0.040,Completed
SSI,314,50,50,0.27,0,0.045,Completed
SSI,314,50,50,0.27,1,0.046,Completed
SSI,314,50,50,0.27,2,0.041,Completed
SSI,314,50,50,0.27,3,0.043,Completed
SSI,314,50,50,0.27,4,0.045,Completed
SSI,314,50,50,0.28,0,0.050,Completed
SSI,314,50,50,0.28,1,0.051,Completed
SSI,314,50,50,0.28,2,0.048,Completed
SSI,314,50,50,0.28,3,0.050,Completed
SSI,314,50,50,0.28,4,0.049,Completed
SSI,314,50,50,0.29,0,0.053,Completed
SSI,314,50,50,0.29,1,0.050,Completed
SSI,314,50,50,0.29,2,0.052,Completed
SSI,314,50,50,0.29,3,0.054,Completed
SSI,314,50,50,0.29,4,0.056,Completed
SSI,314,50,50,0.30,0,0.049,Completed
SSI,314,50,50,0.30,1,0.051,Completed
SSI,314,50,50,0.30,2,0.050,Completed
