Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.10,0,0.026,Completed
SSI,314,50,50,0.10,1,0.028,Completed
SSI,314,50,50,0.10,2,0.028,Completed
SSI,314,50,50,0.10,3,0.021,Completed
SSI,314,50,50,0.10,4,0.024,Completed
SSI,314,50,50,0.11,0,0.030,Completed
SSI,314,50,50,0.11,1,0.027,Completed
SSI,314,50,50,0.11,2,0.026,Completed
SSI,314,50,50,0.11,3,0.026,Completed
SSI,314,50,50,0.11,4,0.020,Completed
SSI,314,50,50,0.12,0,0.024,Completed
SSI,314,50,50,0.12,1,0.031,Completed
SSI,314,50,50,0.12,2,0.026,Completed
SSI,314,50,50,0.12,3,0.021,Completed
SSI,314,50,50,0.12,4,0.026,Completed
SSI,314,50,50,0.13,0,0.024,Completed
SSI,314,50,50,0.13,1,0.022,Completed
SSI,314,50,50,0.13,2,0.023,Completed
SSI,314,50,50,0.13,3,0.033,Completed
SSI,314,50,50,0.13,4,0.029,Completed
SSI,314,50,50,0.14,0,0.031,Completed
SSI,314,50,50,0.14,1,0.026,Completed
SSI,314,50,50,0.14,2,0.026,Completed
SSI,314,50,50,0.14,3,0.028,Completed
SSI,314,50,50,0.14,4,0.026,Completed
SSI,314,50,50,0.15,0,0.028,Completed
SSI,314,50,50,0.15,1,0.032,Completed
SSI,314,50,50,0.15,2,0.030,Completed
SSI,314,50,50,0.15,3,0.029,Completed
SSI,314,50,50,0.15,4,0.032,Completed
SSI,314,50,50,0.16,0,0.024,Completed
SSI,314,50,50,0.16,1,0.024,Completed
SSI,314,50,50,0.16,2,0.028,Completed
SSI,314,50,50,0.16,3,0.031,Completed
SSI,314,50,50,0.16,4,0.032,Completed
SSI,314,50,50,0.17,0,0.027,Completed
SSI,314,50,50,0.17,1,0.029,Completed
SSI,314,50,50,0.17,2,0.031,Completed
SSI,314,50,50,0.17,3,0.024,Completed
SSI,314,50,50,0.17,4,0.031,Completed
SSI,314,50,50,0.18,0,0.028,Completed
SSI,314,50,50,0.18,1,0.037,Completed
SSI,314,50,50,0.18,2,0.030,Completed
SSI,314,50,50,0.18,3,0.030,Completed
SSI,314,50,50,0.18,4,0.027,Completed
SSI,314,50,50,0.19,0,0.034,Completed
SSI,314,50,50,0.19,1,0.033,Completed
SSI,314,50,50,0.19,2,0.029,Completed
SSI,314,50,50,0.19,3,0.026,Completed
SSI,314,50,50,0.19,4,0.030,Completed
SSI,314,50,50,0.20,0,0.031,Completed
SSI,314,50,50,0.20,1,0.031,Completed
SSI,314,50,50,0.20,2,0.032,Completed
SSI,314,50,50,0.20,3,0.037,Completed
SSI,314,50,50,0.20,4,0.030,Completed
SSI,314,50,50,0.21,0,0.032,Completed
SSI,314,50,50,0.21,1,0.031,Completed
SSI,314,50,50,0.21,2,0.033,Completed
SSI,314,50,50,0.21,3,0.030,Completed
SSI,314,50,50,0.21,4,0.027,Completed
SSI,314,50,50,0.22,0,0.024,Completed
SSI,314,50,50,0.22,1,0.032,Completed
SSI,314,50,50,0.22,2,0.036,Completed
SSI,314,50,50,0.22,3,0.030,Completed
SSI,314,50,50,0.22,4,0.032,Completed
SSI,314,50,50,0.23,0,0.034,Completed
SSI,314,50,50,0.23,1,0.046,Completed
SSI,314,50,50,0.23,2,0.036,Completed
SSI,314,50,50,0.23,3,0.036,Completed
SSI,314,50,50,0.23,4,0.034,Completed
SSI,314,50,50,0.24,0,0.034,Completed
SSI,314,50,50,0.24,1,0.031,Completed
SSI,314,50,50,0.24,2,0.037,Completed
SSI,314,50,50,0.24,3,0.032,Completed
SSI,314,50,50,0.24,4,0.041,Completed
SSI,314,50,50,0.25,0,0.037,Completed
SSI,314,50,50,0.25,1,0.040,Completed
SSI,314,50,50,0.25,2,0.038,Completed
SSI,314,50,50,0.25,3,0.037,Completed
SSI,314,50,50,0.25,4,0.040,Completed
SSI,314,50,50,0.26,0,0.036,Completed
SSI,314,50,50,0.26,1,0.043,Completed
SSI,314,50,50,0.26,2,0.031,Completed
SSI,314,50,50,0.26,3,0.040,Completed
SSI,314,50,50,0.26,4,0.040,Completed
SSI,314,50,50,0.27,0,0.040,Completed
SSI,314,50,50,0.27,1,0.039,Completed
SSI,314,50,50,0.27,2,0.048,Completed
SSI,314,50,50,0.27,3,0.041,Completed
SSI,314,50,50,0.27,4,0.039,Completed
SSI,314,50,50,0.28,0,0.044,Completed
SSI,314,50,50,0.28,1,0.033,Completed
SSI,314,50,50,0.28,2,0.049,Completed
SSI,314,50,50,0.28,3,0.042,Completed
SSI,314,50,50,0.28,4,0.047,Completed
SSI,314,50,50,0.29,0,0.046,Completed
SSI,314,50,50,0.29,1,0.051,Completed
SSI,314,50,50,0.29,2,0.048,Completed
SSI,314,50,50,0.29,3,0.049,Completed
SSI,314,50,50,0.29,4,0.044,Completed
SSI,314,50,50,0.30,0,0.059,Completed
SSI,314,50,50,0.30,1,0.050,Completed
SSI,314,50,50,0.30,2,0.048,Completed
SSI,314,50,50,0.30,3,0.050,Completed
SSI,314,50,50,0.30,4,0.053,Completed
SSI,314,50,50,0.31,0,0.053,Completed
SSI,314,50,50,0.31,1,0.061,Completed
SSI,314,50,50,0.31,2,0.054,Completed
SSI,314,50,50,0.31,3,0.058,Completed
SSI,314,50,50,0.31,4,0.056,Completed
SSI,314,50,50,0.32,0,0.059,Completed
SSI,314,50,50,0.32,1,0.062,Completed
SSI,314,50,50,0.32,2,0.076,Completed
SSI,314,50,50,0.32,3,0.074,Completed
SSI,314,50,50,0.32,4,0.069,Completed
SSI,314,50,50,0.33,0,0.075,Completed
SSI,314,50,50,0.33,1,0.085,Completed
SSI,314,50,50,0.33,2,0.067,Completed
SSI,314,50,50,0.33,3,0.081,Completed
SSI,314,50,50,0.33,4,0.072,Completed
SSI,314,50,50,0.34,0,0.074,Completed
SSI,314,50,50,0.34,1,0.076,Completed
SSI,314,50,50,0.34,2,0.087,Completed
SSI,314,50,50,0.34,3,0.074,Completed
SSI,314,50,50,0.34,4,0.080,Completed
SSI,314,50,50,0.35,0,0.083,Completed
SSI,314,50,50,0.35,1,0.093,Completed
SSI,314,50,50,0.35,2,0.079,Completed
SSI,314,50,50,0.35,3,0.085,Completed
SSI,314,50,50,0.35,4,0.086,Completed
SSI,314,50,50,0.36,0,0.092,Completed
SSI,314,50,50,0.36,1,0.100,Completed
SSI,314,50,50,0.36,2,0.099,Completed
SSI,314,50,50,0.36,3,0.107,Completed
SSI,314,50,50,0.36,4,0.122,Completed
SSI,314,50,50,0.37,0,0.128,Completed
SSI,314,50,50,0.37,1,0.113,Completed
SSI,314,50,50,0.37,2,0.101,Completed
SSI,314,50,50,0.37,3,0.114,Completed
SSI,314,50,50,0.37,4,0.130,Completed
SSI,314,50,50,0.38,0,0.161,Completed
SSI,314,50,50,0.38,1,0.155,Completed
SSI,314,50,50,0.38,2,0.150,Completed
SSI,314,50,50,0.38,3,0.134,Completed
SSI,314,50,50,0.38,4,0.139,Completed
SSI,314,50,50,0.39,0,0.179,Completed
SSI,314,50,50,0.39,1,0.172,Completed
SSI,314,50,50,0.39,2,0.177,Completed
SSI,314,50,50,0.39,3,0.196,Completed
SSI,314,50,50,0.39,4,0.172,Completed
SSI,314,50,50,0.40,0,0.248,Completed
SSI,314,50,50,0.40,1,0.236,Completed
SSI,314,50,50,0.40,2,0.290,Completed
SSI,314,50,50,0.40,3,0.226,Completed
SSI,314,50,50,0.40,4,0.235,Completed
SSI,314,50,50,0.41,0,0.294,Completed
SSI,314,50,50,0.41,1,0.440,Completed
SSI,314,50,50,0.41,2,0.391,Completed
SSI,314,50,50,0.41,3,0.332,Completed
SSI,314,50,50,0.41,4,0.322,Completed
SSI,314,50,50,0.42,0,0.427,Completed
SSI,314,50,50,0.42,1,0.455,Completed
SSI,314,50,50,0.42,2,0.562,Completed
SSI,314,50,50,0.42,3,0.616,Completed
SSI,314,50,50,0.42,4,0.491,Completed
