Method,numP,Width,Height,Ratio,Sample,Time_s,Status,Attempts,Rejects
SSI,314,50,50,0.100,0,0.027,Completed,325,11
SSI,314,50,50,0.100,1,0.029,Completed,332,18
SSI,314,50,50,0.100,2,0.030,Completed,331,17
SSI,314,50,50,0.100,3,0.028,Completed,331,17
SSI,314,50,50,0.100,4,0.025,Completed,325,11
SSI,314,50,50,0.100,5,0.020,Completed,327,13
SSI,314,50,50,0.100,6,0.028,Completed,330,16
SSI,314,50,50,0.100,7,0.028,Completed,338,24
SSI,314,50,50,0.100,8,0.030,Completed,324,10
SSI,314,50,50,0.100,9,0.030,Completed,334,20
SSI,314,50,50,0.100,10,0.035,Completed,334,20
SSI,314,50,50,0.100,11,0.025,Completed,326,12
SSI,314,50,50,0.100,12,0.031,Completed,334,20
SSI,314,50,50,0.100,13,0.032,Completed,329,15
SSI,314,50,50,0.100,14,0.032,Completed,337,23
SSI,314,50,50,0.100,15,0.030,Completed,327,13
SSI,314,50,50,0.100,16,0.027,Completed,329,15
SSI,314,50,50,0.100,17,0.029,Completed,335,21
SSI,314,50,50,0.100,18,0.029,Completed,332,18
SSI,314,50,50,0.100,19,0.040,Completed,329,15
SSI,314,50,50,0.100,20,0.030,Completed,337,23
SSI,314,50,50,0.100,21,0.030,Completed,334,20
SSI,314,50,50,0.100,22,0.031,Completed,338,24
SSI,314,50,50,0.100,23,0.031,Completed,338,24
SSI,314,50,50,0.100,24,0.028,Completed,325,11
SSI,314,50,50,0.100,25,0.029,Completed,330,16
SSI,314,50,50,0.100,26,0.029,Completed,328,14
SSI,314,50,50,0.100,27,0.030,Completed,327,13
SSI,314,50,50,0.100,28,0.030,Completed,338,24
SSI,314,50,50,0.100,29,0.031,Completed,332,18
SSI,314,50,50,0.100,30,0.029,Completed,334,20
SSI,314,50,50,0.100,31,0.031,Completed,340,26
SSI,314,50,50,0.100,32,0.028,Completed,327,13
SSI,314,50,50,0.100,33,0.031,Completed,338,24
SSI,314,50,50,0.100,34,0.031,Completed,333,19
